================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 1000000
每次更新步数: 100
更新次数: 10000
图像尺寸: (128, 128)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 5,731,409 (可训练: 5,731,409)

开始训练...

Update 590/10000 | Step 59000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1129 | Value Loss: 0.0861 | SPS: 113 | ETA: 138.8min
Update 600/10000 | Step 60000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0932 | Value Loss: 0.0808 | SPS: 114 | ETA: 137.4min
  ✓ 保存检查点: checkpoints/ppo_visual_update_600.pt
Update 610/10000 | Step 61000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.2361 | Value Loss: 0.0403 | SPS: 114 | ETA: 137.3min
Update 620/10000 | Step 62000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0441 | Value Loss: 0.0559 | SPS: 114 | ETA: 137.1min
Update 630/10000 | Step 63000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1653 | Value Loss: 0.0814 | SPS: 114 | ETA: 137.0min
Update 640/10000 | Step 64000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.1168 | Value Loss: 0.0233 | SPS: 114 | ETA: 136.8min
Update 650/10000 | Step 65000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1815 | Value Loss: 0.1028 | SPS: 114 | ETA: 136.7min
Update 660/10000 | Step 66000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0679 | Value Loss: 0.0563 | SPS: 114 | ETA: 136.5min
Update 670/10000 | Step 67000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0566 | Value Loss: 0.0345 | SPS: 114 | ETA: 136.4min
Update 680/10000 | Step 68000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0150 | Value Loss: 0.0420 | SPS: 114 | ETA: 136.3min
Update 690/10000 | Step 69000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.1123 | Value Loss: 0.0315 | SPS: 114 | ETA: 136.1min
Update 700/10000 | Step 70000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1008 | Value Loss: 0.1051 | SPS: 114 | ETA: 136.0min
  ✓ 保存检查点: checkpoints/ppo_visual_update_700.pt
Update 710/10000 | Step 71000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1656 | Value Loss: 0.1010 | SPS: 114 | ETA: 135.8min
Update 720/10000 | Step 72000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0663 | Value Loss: 0.0923 | SPS: 114 | ETA: 135.7min
Update 730/10000 | Step 73000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0755 | Value Loss: 0.0392 | SPS: 114 | ETA: 135.5min
Update 740/10000 | Step 74000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1263 | Value Loss: 0.0618 | SPS: 114 | ETA: 135.4min
Update 750/10000 | Step 75000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.1005 | Value Loss: 0.0179 | SPS: 114 | ETA: 135.2min
Update 760/10000 | Step 76000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0117 | Value Loss: 0.0129 | SPS: 114 | ETA: 135.1min
Update 770/10000 | Step 77000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0995 | Value Loss: 0.0542 | SPS: 114 | ETA: 134.9min
Update 780/10000 | Step 78000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0807 | Value Loss: 0.0116 | SPS: 114 | ETA: 134.8min
Update 790/10000 | Step 79000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.2424 | Value Loss: 0.0279 | SPS: 114 | ETA: 134.6min
Update 800/10000 | Step 80000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0085 | Value Loss: 0.0033 | SPS: 114 | ETA: 134.5min
  ✓ 保存检查点: checkpoints/ppo_visual_update_800.pt
Update 810/10000 | Step 81000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1214 | Value Loss: 0.0200 | SPS: 114 | ETA: 134.4min
Update 820/10000 | Step 82000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.2469 | Value Loss: 0.0398 | SPS: 114 | ETA: 134.2min
Update 830/10000 | Step 83000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0528 | Value Loss: 0.0120 | SPS: 114 | ETA: 134.1min
Update 840/10000 | Step 84000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0785 | Value Loss: 0.0122 | SPS: 114 | ETA: 133.9min
Update 850/10000 | Step 85000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.1024 | Value Loss: 0.0530 | SPS: 114 | ETA: 133.8min
Update 860/10000 | Step 86000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0161 | Value Loss: 0.0473 | SPS: 114 | ETA: 133.6min
Update 870/10000 | Step 87000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0458 | Value Loss: 0.0046 | SPS: 114 | ETA: 133.5min
Update 880/10000 | Step 88000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0446 | Value Loss: 0.0320 | SPS: 114 | ETA: 133.3min
Update 890/10000 | Step 89000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0648 | Value Loss: 0.0017 | SPS: 114 | ETA: 133.2min
Update 900/10000 | Step 90000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.1440 | Value Loss: 0.0006 | SPS: 114 | ETA: 133.0min
  ✓ 保存检查点: checkpoints/ppo_visual_update_900.pt
Update 910/10000 | Step 91000/1000000 | Mean Reward: 1.74 | Policy Loss: 0.0956 | Value Loss: 0.0005 | SPS: 114 | ETA: 132.9min
Update 920/10000 | Step 92000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.1785 | Value Loss: 0.0118 | SPS: 114 | ETA: 132.7min
Update 930/10000 | Step 93000/1000000 | Mean Reward: 1.74 | Policy Loss: -0.1863 | Value Loss: 0.0060 | SPS: 114 | ETA: 132.6min
