================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 10000000
每次更新步数: 200
更新次数: 50000
图像尺寸: (64, 64)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 936,625 (可训练: 936,625)

开始训练...

Update 570/50000 | Step 114000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0056 | Value Loss: 0.3893 | SPS: 172 | ETA: 957.9min
Update 580/50000 | Step 116000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0063 | Value Loss: 0.2357 | SPS: 172 | ETA: 957.8min
Update 590/50000 | Step 118000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0035 | Value Loss: 0.1569 | SPS: 172 | ETA: 957.6min
Update 600/50000 | Step 120000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0070 | Value Loss: 0.0796 | SPS: 172 | ETA: 957.4min
  ✓ 保存检查点: checkpoints/ppo_visual_update_600.pt
Update 610/50000 | Step 122000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0109 | Value Loss: 0.1763 | SPS: 172 | ETA: 957.2min
Update 620/50000 | Step 124000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0046 | Value Loss: 0.2284 | SPS: 172 | ETA: 957.0min
Update 630/50000 | Step 126000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0054 | Value Loss: 0.1239 | SPS: 172 | ETA: 956.8min
Update 640/50000 | Step 128000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0092 | Value Loss: 0.1286 | SPS: 172 | ETA: 956.6min
Update 650/50000 | Step 130000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0151 | Value Loss: 0.0207 | SPS: 172 | ETA: 956.4min
Update 660/50000 | Step 132000/10000000 | Mean Reward: 3.75 | Policy Loss: 0.0017 | Value Loss: 0.1225 | SPS: 172 | ETA: 956.2min
Update 670/50000 | Step 134000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0033 | Value Loss: 0.2438 | SPS: 173 | ETA: 950.5min
Update 680/50000 | Step 136000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0051 | Value Loss: 0.1196 | SPS: 173 | ETA: 950.3min
Update 690/50000 | Step 138000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0033 | Value Loss: 0.1116 | SPS: 173 | ETA: 950.1min
Update 700/50000 | Step 140000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0061 | Value Loss: 0.1034 | SPS: 173 | ETA: 949.9min
  ✓ 保存检查点: checkpoints/ppo_visual_update_700.pt
Update 710/50000 | Step 142000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0017 | Value Loss: 0.1051 | SPS: 173 | ETA: 949.7min
Update 720/50000 | Step 144000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0016 | Value Loss: 0.0383 | SPS: 173 | ETA: 949.5min
Update 730/50000 | Step 146000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0066 | Value Loss: 0.1239 | SPS: 173 | ETA: 949.3min
