================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 10000000
每次更新步数: 1000
更新次数: 10000
图像尺寸: (64, 64)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 936,625 (可训练: 936,625)

开始训练...

Update 950/10000 | Step 950000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0024 | Value Loss: 0.0022 | SPS: 176 | ETA: 857.0min
Update 960/10000 | Step 960000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0008 | Value Loss: 0.0007 | SPS: 176 | ETA: 856.1min
Update 970/10000 | Step 970000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0025 | Value Loss: 0.0030 | SPS: 176 | ETA: 855.1min
Update 980/10000 | Step 980000/10000000 | Mean Reward: 3.80 | Policy Loss: 0.0001 | Value Loss: 0.0015 | SPS: 176 | ETA: 854.2min
Update 990/10000 | Step 990000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0009 | Value Loss: 0.0062 | SPS: 175 | ETA: 858.1min
Update 1000/10000 | Step 1000000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0034 | Value Loss: 0.0015 | SPS: 175 | ETA: 857.1min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1000.pt
Update 1010/10000 | Step 1010000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0037 | Value Loss: 0.0020 | SPS: 175 | ETA: 856.2min
Update 1020/10000 | Step 1020000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0027 | Value Loss: 0.0085 | SPS: 175 | ETA: 855.2min
Update 1030/10000 | Step 1030000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0028 | Value Loss: 0.0091 | SPS: 175 | ETA: 854.3min
Update 1040/10000 | Step 1040000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0024 | Value Loss: 0.0109 | SPS: 175 | ETA: 853.3min
Update 1050/10000 | Step 1050000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0074 | Value Loss: 0.0026 | SPS: 175 | ETA: 852.4min
Update 1060/10000 | Step 1060000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0001 | Value Loss: 0.0046 | SPS: 175 | ETA: 851.4min
Update 1070/10000 | Step 1070000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0016 | Value Loss: 0.0015 | SPS: 175 | ETA: 850.5min
Update 1080/10000 | Step 1080000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0069 | Value Loss: 0.0038 | SPS: 175 | ETA: 849.5min
Update 1090/10000 | Step 1090000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0051 | Value Loss: 0.0061 | SPS: 175 | ETA: 848.6min
Update 1100/10000 | Step 1100000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0024 | Value Loss: 0.0014 | SPS: 175 | ETA: 847.6min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1100.pt
Update 1110/10000 | Step 1110000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0085 | Value Loss: 0.0032 | SPS: 175 | ETA: 846.7min
Update 1120/10000 | Step 1120000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0012 | Value Loss: 0.0081 | SPS: 175 | ETA: 845.7min
Update 1130/10000 | Step 1130000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0040 | Value Loss: 0.0005 | SPS: 175 | ETA: 844.8min
Update 1140/10000 | Step 1140000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0044 | Value Loss: 0.0008 | SPS: 175 | ETA: 843.8min
Update 1150/10000 | Step 1150000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0024 | Value Loss: 0.0049 | SPS: 175 | ETA: 842.9min
Update 1160/10000 | Step 1160000/10000000 | Mean Reward: 3.80 | Policy Loss: 0.0003 | Value Loss: 0.0013 | SPS: 175 | ETA: 841.9min
Update 1170/10000 | Step 1170000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0022 | Value Loss: 0.0025 | SPS: 175 | ETA: 841.0min
Update 1180/10000 | Step 1180000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0088 | Value Loss: 0.0021 | SPS: 174 | ETA: 844.8min
Update 1190/10000 | Step 1190000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0079 | Value Loss: 0.0023 | SPS: 174 | ETA: 843.9min
Update 1200/10000 | Step 1200000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0059 | Value Loss: 0.0017 | SPS: 174 | ETA: 842.9min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1200.pt
Update 1210/10000 | Step 1210000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0042 | Value Loss: 0.0026 | SPS: 174 | ETA: 842.0min
Update 1220/10000 | Step 1220000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0028 | Value Loss: 0.0014 | SPS: 174 | ETA: 841.0min
Update 1230/10000 | Step 1230000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0038 | Value Loss: 0.0039 | SPS: 174 | ETA: 840.0min
Update 1240/10000 | Step 1240000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0038 | Value Loss: 0.0025 | SPS: 174 | ETA: 839.1min
Update 1250/10000 | Step 1250000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0075 | Value Loss: 0.0009 | SPS: 174 | ETA: 838.1min
Update 1260/10000 | Step 1260000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0038 | Value Loss: 0.0031 | SPS: 174 | ETA: 837.2min
